especies,tamanho,habitat,grupo trofico,tipo alimentar,seletividade,reproducao,
Alona iheringula,0.40,litoraneo,herbivoro,raspador,moderada,assexuada,
Alona intermedia,0.32,litoraneo,herbivoro,raspador,moderada,assexuada,
Alona glabra,0.31,litoraneo,herbivoro,raspador,moderada,assexuada,
Alona guttata,0.33,litoraneo,herbivoro,raspador,moderada,assexuada,
Alona ossiani,0.45,litoraneo,herbivoro,raspador,moderada,assexuada,
Alona cf. setigera,0.34,litoraneo,herbivoro,raspador,moderada,assexuada,
Alonella clathratula,0.35,litoraneo,herbivoro,raspador,moderada,assexuada,
Alonella dadayi,0.35,litoraneo,herbivoro,raspador,moderada,assexuada,
Alonella hamulata,0.30,litoraneo,herbivoro,raspador,moderada,assexuada,
Anthalona verrucosa,0.30,litoraneo,herbivoro,raspador,moderada,assexuada,
Bosmina freyi,0.31,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Bosmina hagmanni,0.32,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Bosmina tubicen,0.35,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Bosminopsis brandorffi,0.41,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Bosminopsis deitersi,0.26,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Bosminopsis negrensis,0.40,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Camptocercus dadayi,0.55,litoraneo,herbivoro,raspador,moderada,assexuada,
Ceriodaphnia cornuta cornuta,0.39,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Ceriodaphnia cornuta righaudi,0.35,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Ceriodaphnia silvestrii,0.53,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Chydorus eurynotus,0.38,litoraneo,herbivoro,raspador,moderada,assexuada,
Chydorus parvireticulatus,0.35,litoraneo,herbivoro,raspador,moderada,assexuada,
Chydorus pubescens,0.38,litoraneo,herbivoro,raspador,moderada,assexuada,
Coronatella monacantha,0.45,litoraneo,herbivoro,raspador,moderada,assexuada,
Coronatella poppei,0.45,litoraneo,herbivoro,raspador,moderada,assexuada,
Daphnia gessneri,0.52,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Diaphanosoma birgei,0.61,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Diaphanosoma brevirreme,0.57,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Diaphanosoma fluviatile,0.57,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Diaphanosoma polyspina,0.63,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Diaphanosoma spinulosum,0.64,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Disparalona hamata,0.51,litoraneo,herbivoro,raspador,moderada,assexuada,
Disparalona leptorhyncha,0.50,litoraneo,herbivoro,raspador,moderada,assexuada,
Dunhevedia odontoplax,0.46,litoraneo,herbivoro,raspador,moderada,assexuada,
Ephemeroporus barroisi,0.35,litoraneo,herbivoro,raspador,moderada,assexuada,
Ephemeroporus hibridus,0.30,litoraneo,herbivoro,raspador,moderada,assexuada,
Euryalona brasiliensis,0.45,litoraneo,herbivoro,raspador,moderada,assexuada,
Euryalona orientalis,0.45,litoraneo,herbivoro,raspador,moderada,assexuada,
Holopedium amazonicum,0.90,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Ilyocryptus spinifer,0.55,litoraneo,herbivoro,raspador,moderada,assexuada,
Ilyocryptus verrucosus,0.50,litoraneo,herbivoro,raspador,moderada,assexuada,
Karualona muelleri,0.40,litoraneo,herbivoro,raspador,moderada,assexuada,
Latonopsis australis,0.70,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Leydigia striata,0.63,litoraneo,herbivoro,raspador,moderada,assexuada,
Macrothrix elegans,0.40,litoraneo,herbivoro,raspador,moderada,assexuada,
Macrothrix sioli,0.38,litoraneo,herbivoro,raspador,moderada,assexuada,
Macrothrix squamosa,0.40,litoraneo,herbivoro,raspador,moderada,assexuada,
Macrothrix cf. superaculeata,0.35,litoraneo,herbivoro,raspador,moderada,assexuada,
Moina micrura,0.44,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Moina minuta,0.52,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Moina reticulata,0.55,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Moinodaphnia macleayi,0.57,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Notoalona sculpta,0.36,litoraneo,herbivoro,raspador,moderada,assexuada,
Parvalona parva,0.40,litoraneo,herbivoro,raspador,moderada,assexuada,
Pseudisida bidentata,0.70,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Scapholeberis armata,0.60,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Simocephalus serrulatus,0.75,pelagico,herbivoro,suspensivoro F,moderada,assexuada,
Argyrodiaptomus azevedoi,1.63,pelagico,herbivoro,suspensivoro ,moderada,sexuada,
Dactylodiaptomus pearsei,1.61,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus amazonicus,1.20,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus coniferoides,1.47,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus coronatus,1.33,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus deitersi,1.24,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus henseni,1.50,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus linus,1.28,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Notodiaptomus spinuliferus,1.56,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Rhacodiaptomus calamensis,1.10,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Rhacodiaptomus insolitus,1.03,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Nauplios Calanoida,0.25,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Copepoditos Calanoida,0.49,pelagico,herbivoro,suspensivoro AP,moderada,sexuada,
Acantocyclops robustus,1.20,pelagico,onivoro G,raptorial,alta,sexuada,
Allocyclops sp.,0.60,pelagico,onivoro G,raptorial,alta,sexuada,
Macrocyclops albidus,0.65,pelagico,onivoro G,raptorial,alta,sexuada,
Mesocyclops ellipticus,1.17,pelagico,onivoro G,raptorial,alta,sexuada,
Mesocyclops meridianus,1.04,pelagico,onivoro G,raptorial,alta,sexuada,
